mc,bm
齿状突骨质增生,M47.805
腰骶关节强硬,M47.806
脊柱关节滑膜嵌顿,M47.807
脊椎关节强硬,M47.900
肥厚性脊柱炎,M47.901
脊柱变性,M47.902
老年性脊柱炎,M47.903
椎骨关节面破坏,M47.904
椎管狭窄,M48.000
枕寰枢椎管狭窄,M48.001
颈椎椎管狭窄,M48.002
胸椎椎管狭窄,M48.003
胸腰椎椎管狭窄,M48.004
腰椎椎管狭窄,M48.005
强直性骨肥厚【福雷斯蒂尔】,M48.100
脊椎棘突吻合,M48.200
创伤性脊椎病,M48.300
颈椎椎间盘创伤性退变,M48.301
胸椎椎间盘创伤性退变,M48.302
腰椎椎间盘创伤性退变,M48.303
创伤性腰椎病,M48.304
脊柱压缩性骨折,M48.305
脊椎疲劳性骨折,M48.400
脊椎应力性骨折,M48.401
椎体塌陷,M48.500
颈椎楔形变,M48.501
胸椎楔形变,M48.502
腰椎楔形变,M48.503
特指脊椎病,M48.800
颈椎后纵韧带骨化,M48.801
胸椎后纵韧带骨化,M48.802
胸腰椎后纵韧带骨化,M48.803
腰椎后纵韧带骨化,M48.804
骶尾椎后纵韧带骨化,M48.805
后纵韧带骨化,M48.806
椎管内骨性中隔,M48.807
黄韧带骨化,M48.808
脊椎后纵韧带骨化,M48.809
棘突间韧带综合征,M48.810
肌性脊柱炎,M48.811
老年性脊椎萎缩,M48.812
脊椎病,M48.900
颈椎退行性病变,M48.901
胸椎退行性病变,M48.902
腰椎退行性病变,M48.903
脊椎退行性病变,M48.904
颈椎间盘疾患伴有脊髓病,M50.000+
颈椎间盘突出伴脊髓病,M50.001+
颈椎间盘疾患伴神经根病,M50.100+
颈椎胸椎椎间盘疾患伴有神经根病,M50.101+
特指颈椎间盘移位,M50.200
颈椎间盘突出,M50.201
颈椎胸椎椎间盘突出,M50.202
特指颈椎间盘变性,M50.300
颈椎胸椎椎间盘变性,M50.301
颈椎骨质增生,M50.302
特指颈椎椎间盘疾患,M50.800
颈椎间盘疾患,M50.900
颈椎胸椎椎间盘疾患,M50.901
腰和特指椎间盘疾患伴有脊髓病,M51.000+
胸椎间盘突出伴脊髓病,M51.001+
胸椎腰椎椎间盘突出伴脊髓病,M51.002+
腰椎间盘突出伴脊髓病,M51.003+
腰骶椎间盘突出伴脊髓病,M51.004+
腰和特指椎间盘疾患伴有神经根病,M51.100+
腰椎间盘脱出伴坐骨神经痛,M51.101+
髓核疝性神经炎,M51.102+
椎间盘疾患性腰痛伴坐骨神经痛,M51.103+
椎间盘破裂性神经炎,M51.104+
椎间盘移位性脊髓神经根压迫,M51.105+
椎间盘移位性神经炎,M51.106+
特指椎间盘移位,M51.200
胸椎间盘突出,M51.201
腰椎间盘突出,M51.202
胸腰椎椎间盘突出,M51.203
生脓性肉芽肿,L98.000
毛细管扩张性肉芽肿,L98.001
人为性皮炎,L98.100
神经性表皮脱落,L98.101
热性嗜中性粒细胞皮肤病,L98.200
嗜酸细胞性蜂窝织炎,L98.300
皮肤慢性溃疡,L98.400
热带溃疡,L98.401
皮肤粘蛋白沉积症,L98.500
局部粘蛋白沉积症,L98.501
粘液水肿性苔癣,L98.502
皮肤和皮下组织特指浸润性疾患,L98.600
皮肤和皮下组织特指疾患,L98.800
面颊部痣样增生,L98.801
皮肤窦道,L98.802
皮肤淋巴细胞瘤,L98.803
皮肤瘘管,L98.804
皮肤和皮下组织疾患,L98.900
葡萄球菌性关节炎和多关节炎,M00.000
肺炎球菌性关节炎和多关节炎,M00.100
特指链球菌性关节炎和多关节炎,M00.200
特指细菌性病原体引起关节炎和多关节炎,M00.800
化脓性关节炎,M00.900
感染性关节炎,M00.901
肠旁路术后关节病,M02.000
痢疾后关节病,M02.100
免疫后关节病,M02.200
血清性关节炎,M02.201
赖特尔病,M02.300
尿道-眼-关节综合征,M02.301
特指反应性关节病,M02.800
反应性关节病,M02.900
费尔蒂综合征,M05.000
类风湿性肺病,M05.100+
类风湿性关节炎伴肺泡炎,M05.101+
类风湿性关节炎伴肺间质纤维化,M05.102+
类风湿尘肺,M05.103+
类风湿性脉管炎,M05.200
类风湿性关节炎伴特指器官和系统受累,M05.300+
类风湿性关节炎伴多神经病,M05.301+
类风湿性关节炎伴心肌病,M05.302+
类风湿性关节炎相关性肌病,M05.303+
类风湿性关节炎伴心炎,M05.304+
类风湿性关节炎伴心包炎,M05.305+
类风湿性关节炎伴心肌炎,M05.306+
类风湿性关节炎伴心内膜炎,M05.307+
累及全身类风湿性关节炎,M05.308
特指血清反应阳性类风湿性关节炎,M05.800
血清反应阳性类风湿性关节炎,M05.900
血清反应阴性类风湿性关节炎,M06.000
复发性血清阴性对称性滑膜炎伴凹陷性水肿,M06.001
缓解性血清阴性对称性滑膜炎伴凹陷性水肿综合征,M06.002
成人斯蒂尔病,M06.100
类风湿性滑囊炎,M06.200
类风湿性结节,M06.300
炎性多关节病,M06.400
特指类风湿性关节炎,M06.800
类风湿性关节炎,M06.900
类风湿性肩关节关节炎,M06.901
类风湿性肘关节关节炎,M06.902
类风湿性腕关节关节炎,M06.903
类风湿性手骨间关节关节炎,M06.904
类风湿性骨盆和大腿关节炎,M06.905
类风湿性膝关节关节炎,M06.906
类风湿性踝关节关节炎,M06.907
类风湿性斜颈,M06.908
类风湿性多部位关节炎,M06.909
幼年型类风湿关节炎,M08.000
幼年型类风湿因子阴性关节炎,M08.001
幼年型类风湿因子阳性关节炎,M08.002
幼年型强直性脊柱炎,M08.100
幼年型关节炎伴全身性发病,M08.200
幼年型斯蒂尔病,M08.201
幼年型多关节炎血清反应阴性,M08.300
慢性幼年型多关节炎,M08.301
少关节性幼年型关节炎,M08.400
特指幼年型关节炎,M08.800
幼年型关节炎,M08.900
特发性痛风,M10.000
尿酸性肾病,M10.001+
痛风性关节炎,M10.002
痛风性滑囊炎,M10.003
心脏尿酸盐痛风石,M10.004+
痛风性肾结石,M10.005+
指关节痛风结节,M10.006
铅性痛风,M10.100
尿酸性关节炎,M10.101
药物性痛风,M10.200
肾功能损害引起痛风,M10.300
特指继发性痛风,M10.400
痛风,M10.900
痛风体质,M10.901
耳痛风石,M10.902+
痛风结节,M10.903
羟磷灰石沉着病,M11.000
家族性软骨钙沉着,M11.100
特指软骨钙沉着,M11.200
软骨钙质沉着,M11.201
特指结晶性关节病,M11.800
焦磷酸盐结晶性关节炎,M11.801
磷酸二钙结晶性关节炎,M11.802
结晶性关节病,M11.900
慢性风湿病后特指关节病,M12.000
慢性风湿病后关节病,M12.001
卡斯钦-贝克病[大骨节病],M12.100
绒毛结节性滑膜炎,M12.200
复发性风湿病,M12.300
间歇性关节积水,M12.400
创伤性关节病,M12.500
特指关节特指关节病,M12.800
短暂性关节炎,M12.801
绒毛状关节炎,M12.802
多关节炎,M13.000
单关节炎,M13.100
特指关节特指关节炎,M13.800
变应性关节炎,M13.801
关节炎,M13.900
更年期关节炎,M13.901
原发性全身性骨关节病,M15.000
赫伯登结节,M15.100
布沙尔结节伴关节病,M15.200
继发性多发性关节病,M15.300
创伤后多关节病,M15.301
侵蚀性关节病,M15.400
糜烂性骨关节病,M15.401
特指多关节病,M15.800
海加思结节,M15.801
多关节病,M15.900
萎缩性多关节炎,M15.901
全身性骨关节炎,M15.902
原发性双侧髋关节病,M16.000
特指原发性髋关节病,M16.100
原发性单侧髋关节病,M16.101
发育异常性双侧髋关节病,M16.200
特指发育异常性髋关节病,M16.300
发育异常性单侧髋关节病,M16.301
创伤后双侧髋关节病,M16.400
特指创伤后髋关节病,M16.500
创伤后单侧髋关节病,M16.501
继发性双侧髋关节病,M16.600
特指继发性髋关节病,M16.700
继发性单侧髋关节病,M16.701
髋关节病,M16.900
老年性髋关节病,M16.901
原发性双侧膝关节病,M17.000
特指原发性膝关节病,M17.100
结膜天疱疹,L12.102+
眼天疱疹,L12.103+
儿童期慢性大疱性疾病,L12.200
青少年疱疹样皮炎,L12.201
后天性大疱性表皮松解,L12.300
特指类天疱疮,L12.800
类天疱疮,L12.900
疱疹样皮炎,L13.000
角质层下小脓疱性皮炎,L13.100
斯内登-威尔金森病,L13.101
特指大疱性疾患,L13.800
线状IgA大疱性皮炎,L13.801
大疱性疾患,L13.900
大疱性皮炎,L13.901
贝尼耶痒疹,L20.000
特指特应性皮炎,L20.800
泛发性神经性皮炎,L20.801
过敏性湿疹,L20.802
特应性神经性皮炎,L20.803
婴儿湿疹,L20.804
弥漫性神经性皮炎,L20.805
新生儿皮肤湿疹,L20.806
特应性皮炎,L20.900
头皮皮脂溢,L21.000
乳痂,L21.001
头皮糠疹,L21.002
婴儿脂溢性皮炎,L21.100
特指脂溢性皮炎,L21.800
脂溢性皮炎,L21.900
脂溢性湿疹,L21.901
尿布性皮炎,L22.x00
银屑病样尿布疹,L22.x01
尿布疹,L22.x02
金属变应性接触性皮炎,L23.000
铬变应性接触性皮炎,L23.001
镍变应性接触性皮炎,L23.002
粘贴剂引起变应性接触性皮炎,L23.100
橡皮膏变应性接触性皮炎,L23.101
化妆品变应性接触性皮炎,L23.200
药物过敏性接触性皮炎,L23.300
染料过敏性接触性皮炎,L23.400
特指化学产品引起的变应性接触性皮炎,L23.500
水泥变应性接触性皮炎,L23.501
塑料变应性接触性皮炎,L23.502
橡胶变应性接触性皮炎,L23.503
杀虫剂变应性接触性皮炎,L23.504
食物过敏性接触性皮炎,L23.600
植物过敏性接触性皮炎,L23.700
特指物质变应性接触性皮炎,L23.800
毛皮变应性接触性皮炎,L23.801
变应性接触性皮炎,L23.900
过敏性皮炎,L23.901
去污剂刺激性接触性皮炎,L24.000
油脂类刺激性接触性皮炎,L24.100
溶剂类引起刺激性接触性皮炎,L24.200
丙酮刺激性接触性皮炎,L24.201
醇类刺激性接触性皮炎,L24.202
二硫化碳刺激性接触性皮炎,L24.203
甲苯刺激性接触性皮炎,L24.204
溶剂类刺激性接触性皮炎,L24.205
松脂刺激性接触性皮炎,L24.206
化妆品刺激性接触性皮炎,L24.300
药物刺激性接触性皮炎,L24.400
特指化学品刺激性接触性皮炎,L24.500
碱刺激性接触性皮炎,L24.501
尼龙刺激性接触性皮炎,L24.502
砌砖工刺激性痒病,L24.503
酸类刺激性接触性皮炎,L24.504
食物接触皮肤引起刺激性接触性皮炎,L24.600
揉面刺激性痒病,L24.601
植物刺激性接触性皮炎，除外食物,L24.700
特指物质刺激性接触性皮炎染料,L24.800
松毛虫皮炎,L24.801
刺激性接触性皮炎,L24.900
刺激性皮炎,L24.901
化妆品接触性皮炎,L25.000
药物接触性皮炎,L25.100
染料接触性皮炎,L25.200
染发性皮炎,L25.201
特指化学品接触性皮炎,L25.300
食物接触皮肤接触性皮炎,L25.400
植物接触性皮炎,L25.500
特指物质接触性皮炎,L25.800
接触性皮炎,L25.900
剥脱性皮炎,L26.x00
黑布拉糠疹,L26.x01
药物和药剂引起全身性皮疹,L27.000
固定性药疹,L27.001
红皮病型药疹,L27.002
荨麻疹型药疹,L27.003
药物性红斑,L27.004
药物性皮炎,L27.005
药物和药剂局限性皮疹,L27.100
摄入食物引起皮炎,L27.200
牛奶过敏性皮炎,L27.201
食物过敏性皮炎,L27.202
特指内服物质皮炎,L27.800
砷过敏性皮炎,L27.801
内服物质皮炎,L27.900
慢性单纯性苔癣,L28.000
局限性神经性皮炎,L28.001
苔藓样皮炎,L28.002
苔癣,L28.003
结节性痒疹,L28.100
特指痒疹,L28.200
黑布拉痒疹,L28.201
轻症痒疹,L28.202
丘疹性荨麻疹,L28.203
肛门瘙痒症,L29.000
阴囊瘙痒症,L29.100
外阴瘙痒症,L29.200
肛门生殖器瘙痒症,L29.300
特指瘙痒症,L29.800
冬令瘙痒症,L29.801
老年瘙痒症,L29.802
生殖器瘙痒症,L29.803
瘙痒症,L29.900
钱币状皮炎,L30.000
汗疱疹,L30.100
皮肤自体致敏,L30.200
念珠菌疹,L30.201
皮肤癣菌疹,L30.202
湿疹样疹,L30.203
自体过敏性皮炎,L30.204
感染性皮炎,L30.300
传染性湿疹样皮炎,L30.301
小脓疱性湿疹,L30.302
擦烂红斑,L30.400
白色糠疹,L30.500
特指皮炎,L30.800
寒冷性皮炎,L30.801
激素依赖性皮炎,L30.802
季节性大疱性皮炎,L30.803
嗜酸性粒细胞增多性皮病,L30.804
胼胝性湿疹,L30.805
皮炎,L30.900
泛发性湿疹,L30.901
湿疹,L30.902
外阴湿疹,L30.903
阴囊湿疹,L30.904
湿疹样皮炎,L30.905
寻常性银屑病,L40.000
斑块状银屑病,L40.001
蛎壳状银屑病,L40.002
钱币形银屑病,L40.003
全身脓疱性银屑病,L40.100
冯 - 聪布施病,L40.101
脓疱性银屑病,L40.102
疱疹样脓疱病,L40.103
持续性肢端皮炎,L40.200
掌跖脓疱病,L40.300
掌跖脓疱性银屑病,L40.301
滴状银屑病,L40.400
关节病型银屑病,L40.500+
银屑病性关节炎,L40.501+
银屑病性幼年型关节炎,L40.502+
特指银屑病,L40.800
反常性银屑病,L40.801
红皮病性银屑病,L40.802
银屑病性肾炎,L40.803+
银屑病,L40.900
急性痘疮样苔癣样糠疹,L41.000
穆哈-黑贝曼病,L41.001
慢性苔藓样糠疹,L41.100
淋巴瘤样丘疹病,L41.200
小斑块副银屑病,L41.300
大斑块副银屑病,L41.400
网状副银屑病,L41.500
特指副银屑病,L41.800
斑状副银屑病,L41.801
副银屑病,L41.900
玫瑰糠疹,L42.x00
肥厚性扁平苔癣,L43.000
大疱性扁平苔癣,L43.100
苔藓样药物反应,L43.200
亚急性扁平苔癣,L43.300
热带扁平苔癣,L43.301
特指扁平苔癣,L43.800
扁平苔癣,L43.900
口腔扁平苔癣,L43.901
舌扁平苔癣,L43.902
毛发红糠疹,L44.000
光泽苔癣,L44.100
条纹状苔癣,L44.200
念珠状红苔癣,L44.300
婴儿丘疹性肢皮炎,L44.400
特指丘疹鳞屑性疾患,L44.800
丘疹鳞屑性疾患,L44.900
变应性荨麻疹,L50.000
特发性荨麻疹,L50.100
冷和热引起荨麻疹,L50.200
寒冷性荨麻疹,L50.201
热性荨麻疹,L50.202
皮肤划痕性荨麻疹,L50.300
人工性荨麻疹,L50.301
振动荨麻疹,L50.400
胆硷能性荨麻疹,L50.500
接触性荨麻疹,L50.600
特指荨麻疹,L50.800
急性荨麻疹,L50.801
慢性荨麻疹,L50.802
荨麻疹,L50.900
非大疱型多形性红斑,L51.000
大疱型多形性红斑,L51.100
史蒂文斯-约翰逊综合征,L51.101
中毒性表皮坏死松解症,L51.200
特指多形性红斑,L51.800
糜烂性多形红斑,L51.801
渗出性多形红斑,L51.802
多形红斑,L51.900
结节性红斑,L52.x00
硬红斑,L52.x01
中毒性红斑,L53.000
离心性环形红斑,L53.100
风湿性环形红斑,L53.101
边缘性红斑,L53.200
慢性回状红斑,L53.300
特指红斑性情况,L53.800
猩红热样红斑,L53.801
红斑,L53.900
红皮病,L53.901
Ⅰ度晒斑,L55.000
Ⅱ度晒斑,L55.100
Ⅲ度晒斑,L55.200
特指晒斑,L55.800
晒斑,L55.900
药物光毒性反应,L56.000
药物光变应性反应,L56.100
光接触性皮炎,L56.200
日光性荨麻疹,L56.300
多形性日光疹,L56.400
牛痘样水疱,L56.401
紫外线辐射特指急性皮肤改变,L56.800
紫外线辐射急性皮肤改变,L56.900
光线性角化病,L57.000
灰泥角化症,L57.001
老年性角化病,L57.002
日光性角化病,L57.003
光线性类网状细胞增多症,L57.100
颈部菱形皮,L57.200
西瓦特皮肤异色病,L57.300
老年性皮肤松垂,L57.400
获得性皮肤松弛症,L57.401
皮肤松驰,L57.402
光线性肉芽肿,L57.500
慢性暴露于非电离辐射下特指皮肤改变,L57.800
慢性光化性皮炎,L57.801
日光性皮炎,L57.802
慢性暴露于非电离辐射下皮肤改变,L57.900
急性放射性皮炎,L58.000
慢性放射性皮炎,L58.100
放射性皮肤溃疡,L58.101
放射性皮炎,L58.900
火激红斑,L59.000
与辐射有关皮肤和皮下组织特指疾患,L59.800
慢性光化性皮炎，与辐射相关,L59.801
与辐射有关皮肤和皮下组织疾患,L59.900
嵌甲,L60.000
甲剥离,L60.100
甲弯曲,L60.200
甲肥厚,L60.201
甲营养不良,L60.300
脆甲症,L60.301
博氏线,L60.400
黄甲综合征,L60.500
特指甲疾患,L60.800
甲床角化过度,L60.801
指甲下出血,L60.802
趾甲下出血,L60.803
甲疾患,L60.900
全秃,L63.000
普秃,L63.100
匐行性脱发,L63.200
特指斑秃,L63.800
斑秃,L63.900
药物性雄激素性脱发,L64.000
特指雄激素性脱发,L64.800
早老性脱发,L64.801
雄激素性脱发,L64.900
静止期脱发,L65.000
再生期脱发,L65.100
粘蛋白性脱发,L65.200
特指非瘢痕性毛发缺失,L65.800
感染后脱发,L65.801
神经性脱发,L65.802
非瘢痕性毛发缺失,L65.900
眉缺损,L65.901
脱发,L65.902
脂溢性脱发,L65.903
毛发稀少症,L65.904
假性斑秃,L66.000
毛发扁平苔癣,L66.100
脱发性毛囊炎,L66.200
脓肿性头部毛囊周围炎,L66.300
网状红斑性毛囊炎,L66.400
特指瘢痕性脱发,L66.800
瘢痕性脱发,L66.900
结节性脆发病,L67.000
发色变异,L67.100
白发,L67.101
白睫毛,L67.102
白眉毛,L67.103
后天性白发,L67.104
灰发,L67.105
局限性白发,L67.106
特指毛色和毛干异常,L67.800
毛色和毛干异常,L67.900
男性型多毛症,L68.000
后天性胎毛过多,L68.100
局限性多毛症,L68.200
多毛症,L68.300
特指多毛症,L68.800
多毛,L68.900
寻常痤疮,L70.000
粉刺,L70.001
结节性痤疮,L70.002
囊肿型痤疮,L70.003
脓疱性痤疮,L70.004
硬结性痤疮,L70.005
聚会性痤疮,L70.100
痘样痤疮,L70.200
额面痤疮,L70.201
粟粒坏死性痤疮,L70.202
萎缩性痤疮,L70.203
热带痤疮,L70.300
婴儿痤疮,L70.400
表皮脱落性痤疮,L70.500
特指痤疮,L70.800
恶病质（黑布拉）,L70.801
人工性痤疮,L70.802
神经痛和神经炎,M79.200
多部位神经痛,M79.201
多部位神经炎,M79.202
下肢神经痛,M79.203
神经束膜炎,M79.204
慢性类风湿性神经炎,M79.205
神经肌肉痛,M79.206
神经痛,M79.207
神经炎,M79.208
脂膜炎,M79.300
组织细胞吞噬性脂膜炎,M79.301
结节性非化脓性脂膜炎,M79.302
嗜酸性脂膜炎,M79.303
髌下脂肪垫肥大,M79.400
膝脂肪垫肥大,M79.401
胭脂肪垫肥大,M79.402
髌前脂肪垫肥大,M79.403
髌后脂肪垫肥大,M79.404
软组织内残留异物,M79.500
肩区软组织异物残留,M79.501
上臂软组织异物残留,M79.502
前臂软组织异物残留,M79.503
手软组织异物残留,M79.504
骨盆区软组织异物残留,M79.505
大腿软组织异物残留,M79.506
膝关节软组织异物残留,M79.507
踝软组织异物残留,M79.508
足软组织异物残留,M79.509
头颈部软组织异物残留,M79.510
胸壁异物,M79.511
肢痛,M79.600
手痛,M79.601
跗骨痛,M79.602
脚趾痛,M79.603
足痛,M79.604
纤维肌痛,M79.700
肩部纤维肌炎,M79.701
腰纤维肌炎,M79.702
风湿性肌纤维组织炎,M79.703
纤维织炎,M79.704
肌纤维鞘炎,M79.705
特指软组织疾患,M79.800
上肢肿胀,M79.801
下肢肿胀,M79.802
巨手,M79.803
手肿胀,M79.804
脚趾肿胀,M79.805
足肿胀,M79.806
筋膜腐坏,M79.807
脂肪坏死,M79.808
普罗菲谢病,M79.809
结缔组织炎,M79.810
脂肪液化,M79.811
脂肪萎缩,M79.812
软组织疾患,M79.900
肩区软组织疾患,M79.901
上臂软组织疾患,M79.902
前臂软组织疾患,M79.903
手软组织疾患,M79.904
骨盆区软组织疾患,M79.905
大腿软组织疾患,M79.906
小腿软组织疾患,M79.907
踝软组织疾患,M79.908
足软组织疾患,M79.909
绝经后骨质疏松伴病理性骨折,M80.000
卵巢切除术后骨质疏松伴病理性骨折,M80.100
废用性骨质疏松伴病理性骨折,M80.200
手术后吸收障碍性骨质疏松伴病理性骨折,M80.300
药物性骨质疏松伴病理性骨折,M80.400
特发性骨质疏松伴病理性骨折,M80.500
特指骨质疏松伴病理性骨折,M80.800
骨质疏松伴病理性骨折,M80.900
绝经后骨质疏松,M81.000
卵巢切除术后骨质疏松,M81.100
废用性骨质疏松,M81.200
手术后吸收不良骨质疏松,M81.300
药物性骨质疏松,M81.400
特发性骨质疏松,M81.500
局限性骨质疏松[勒凯纳],M81.600
老年性骨质疏松,M81.800
特指部位骨质疏松,M81.900
骨质疏松,M81.901
